0.068113,0.068113,0.068402
0.144441,0.071702,0.067742
0.184450,0.067639,0.068284
0.225754,0.071048,0.068109
0.272030,0.073381,0.068316
0.307895,0.072218,0.068701
0.354578,0.071444,0.069185
0.411319,0.070778,0.067999
0.480435,0.069546,0.069192
0.579455,0.075301,0.075059
0.670726,0.085347,0.106929
0.071707,0.144433,0.067737
0.118989,0.119025,0.073741
0.162693,0.129435,0.067381
0.222706,0.125905,0.066920
0.266000,0.127595,0.066440
0.308334,0.123700,0.065516
0.361572,0.125752,0.066969
0.413367,0.119499,0.069479
0.464732,0.117286,0.072363
0.530881,0.112774,0.069119
0.624894,0.084938,0.075706
0.067631,0.184442,0.068290
0.129482,0.162729,0.067388
0.179553,0.179491,0.073547
0.218750,0.175963,0.073790
0.263741,0.174227,0.070674
0.304594,0.173977,0.071178
0.356546,0.171547,0.069376
0.415833,0.170714,0.066464
0.480651,0.160675,0.069852
0.587452,0.148559,0.072733
0.673902,0.142865,0.075331
0.071055,0.225769,0.068114
0.125901,0.222723,0.066920
0.175955,0.218729,0.073778
0.217289,0.217315,0.074045
0.259634,0.216098,0.070092
0.306204,0.217068,0.071363
0.350778,0.213108,0.070840
0.408938,0.212707,0.069965
0.467901,0.206318,0.070201
0.540030,0.207079,0.073026
0.634986,0.203528,0.089276
0.073386,0.272051,0.068310
0.127595,0.265996,0.066449
0.174249,0.263666,0.070673
0.216165,0.259594,0.070084
0.261021,0.260983,0.065115
0.308976,0.257611,0.067140
0.362913,0.255135,0.067747
0.423169,0.254092,0.067964
0.498866,0.253218,0.071057
0.575600,0.250384,0.073458
0.667066,0.240371,0.082588
0.072215,0.307913,0.068701
0.123705,0.308316,0.065532
0.173955,0.304582,0.071159
0.217082,0.306167,0.071386
0.257625,0.308907,0.067134
0.305822,0.305790,0.069892
0.352780,0.305630,0.071529
0.405983,0.302104,0.069988
0.466463,0.299008,0.072545
0.538262,0.301531,0.072815
0.650859,0.291947,0.087862
0.071448,0.354590,0.069181
0.125746,0.361532,0.066971
0.171511,0.356627,0.069334
0.213105,0.350719,0.070852
0.255138,0.362881,0.067743
0.305671,0.352637,0.071500
0.361812,0.361784,0.071794
0.424521,0.349627,0.070100
0.493651,0.349956,0.074331
0.567735,0.345629,0.075878
0.658885,0.344845,0.081077
0.070788,0.411327,0.067969
0.119426,0.413288,0.069485
0.170650,0.415929,0.066449
0.212687,0.408915,0.069969
0.254048,0.423157,0.067951
0.302134,0.405948,0.069997
0.349712,0.424489,0.070091
0.413790,0.413710,0.072765
0.474800,0.413763,0.071776
0.528022,0.396062,0.073361
0.626856,0.389984,0.088297
0.069529,0.480419,0.069192
0.117257,0.464691,0.072336
0.160574,0.480835,0.069918
0.206281,0.467826,0.070197
0.253168,0.498950,0.071031
0.299016,0.466471,0.072537
0.350046,0.493789,0.074288
0.413844,0.474744,0.071815
0.472370,0.472418,0.071622
0.539997,0.463757,0.077637
0.634868,0.453973,0.077928
0.075284,0.579424,0.075070
0.112805,0.530861,0.069120
0.148554,0.587489,0.072700
0.207098,0.540096,0.073031
0.250378,0.575584,0.073439
0.301589,0.538313,0.072809
0.345658,0.567656,0.075874
0.396085,0.528043,0.073391
0.463765,0.539925,0.077631
0.514044,0.513995,0.070548
0.583153,0.513384,0.084696
0.085351,0.670735,0.106912
0.084938,0.624902,0.075715
0.142879,0.673891,0.075337
0.203533,0.634983,0.089286
0.240368,0.667081,0.082591
0.291944,0.650827,0.087891
0.344863,0.658901,0.081075
0.389941,0.626834,0.088318
0.453972,0.634869,0.077913
0.513377,0.583180,0.084680
0.587547,0.587545,0.084293
0.072551,0.072557,0.101822
0.108942,0.074285,0.066288
0.145192,0.069915,0.101898
0.200967,0.070898,0.097352
0.253627,0.072454,0.095685
0.324273,0.071549,0.094959
0.388321,0.073453,0.085384
0.448495,0.071427,0.079442
0.527723,0.079133,0.070141
0.588440,0.097430,0.072382
0.659019,0.093003,0.081946
0.074289,0.108946,0.066285
0.100336,0.100313,0.066403
0.173719,0.108943,0.072512
0.202898,0.102584,0.069632
0.256118,0.105886,0.071839
0.321382,0.109593,0.072514
0.365433,0.102258,0.072308
0.439856,0.101560,0.073482
0.500869,0.099912,0.077483
0.525461,0.139127,0.079677
0.642519,0.144481,0.076308
0.069926,0.145186,0.101908
0.108922,0.173724,0.072514
0.153473,0.153452,0.093987
0.201698,0.150473,0.085247
0.259394,0.159048,0.089573
0.316860,0.155917,0.084437
0.376303,0.160963,0.083134
0.436716,0.154803,0.074504
0.514712,0.166303,0.070987
0.583263,0.167993,0.077776
